id;name;number_of_reviews;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;reviews_per_month
6125903;Attic with charm in Lavapiés;167;10/02/2019;91;10;10;9;10;9;9;0;232
6131459;Minimalist loft in Residential Area;31;22/06/2016;96;10;10;10;10;9;10;0;44
6140219;Atico  Loft  Madrid - SOL - WIFI;56;14/03/2020;82;9;9;9;9;9;8;0;83
6159391;Habitación acogedora en La Latina;6;30/07/2015;88;9;9;9;9;10;9;1;8
6159615;Nice and Quiet apartment in Madrid;12;03/11/2019;98;10;10;10;10;10;10;0;17
6160263;Casas Madrid-Private BATHROOM.;46;07/02/2021;86;9;9;9;9;10;9;1;65
6161577;Apartment in down-town Madrid - SOL;141;03/03/2020;94;10;10;10;10;10;9;1;195
6164389;Cuarto en excelente ubicación;2;12/05/2015;20;4;2;8;7;8;3;0;3
6175934;1 Dormitorio;0;01/12/1999;0;0;0;0;0;0;0;1;0
6182538;Habitacion para VEGETARIANOS.;70;20/02/2021;97;10;10;10;10;9;10;0;97
6183158;Superb Apartment Center of the City;164;12/04/2021;96;10;9;10;10;10;9;1;227
6188369;Dúplex a 5 minutos del metro;3;01/08/2015;100;10;10;10;10;10;10;0;4
6191812;Room in pretty family house (IE);11;27/02/2020;98;10;10;10;10;10;10;0;16
6193291;Amazing Duplex in Huertas (Works on the building!);171;15/11/2020;93;10;9;10;10;10;9;1;237
6194911;Genial apartamento en la Latina;109;09/03/2020;95;10;10;10;10;10;10;1;15
6199834;NEW! WFH FROM PUERTA DE ALCALÁ!;204;28/02/2021;98;10;10;10;10;10;10;1;281
6200039;BEAUTIFUL APARTMENT IN MADRID;0;01/12/1999;0;0;0;0;0;0;0;0;0
6206946;Habitación acogedora Ciudad Lineal.;2;28/06/2015;100;10;9;10;10;9;10;0;3
6207137;Piso exterior hasta 4 personas BH10;28;06/01/2020;82;9;9;10;9;10;8;0;47
