name,latitude,longitude
Cozy- luminous  excellenty placed,40.40988,-3.67503
PUERTA DEL SOL-QUIET DOWNTOWN,40.41676,-3.70682
Fantastic Location. Great apartment- Opera,40.41944,-3.70945
Host family in the center of Madrid,40.40334,-3.70254
Great Studio for Rent in Madrid,40.41115,-3.69673
private house in elegant neiborhood,40.42163,-3.66249
Quiet room in a terraced house,40.37733,-3.67441
Apart. 25mts from Gran Via-exterior,40.41959,-3.70373
Quiet downtown Madrid- nearby all,40.42978,-3.67817
Lovely & Cozy Apartment Center,40.41401,-3.70004
80m2 spacious bright loft apartment,40.41737,-3.70015
LAVAPIES CLASSY (CENTER TOWN),40.40827,-3.70049
Quiet room in a two level house,40.3790,-3.67423
Bonito estudio en pleno centro,40.42738,-3.70635
Tribunal Apartment,40.42719,-3.70142
Habitación privada en apartamento.,40.45399,-3.69957
study sol-atocha I,40.41155,-3.70146
Vintage and Scandi Chic at an Historic Central Madrid Home,40.43028,-3.70732
sol-atocha II study,40.4135,-3.70145
CHARMING SUITE IN MADRID'S LEDGE,40.42827,-3.72226
Cute penthouse room in Madrid!!!,40.41275,-3.70862
Chueca Secret Apartment,40.42224,-3.69776
Quiet Central Apartment with WiFi,40.43015,-3.69864
madrid center chueca house wiffi,40.42389,-3.6977
Pretty room,40.40182,-3.75334
Central- fully equipped- best price,40.42849,-3.70183
Nice room in Madrid,40.39032,-3.71382
Wide and nice apartment in Madrid,40.48503,-3.69858
Spectacular Penthouse 95 m² Latina,40.40869,-3.71073
LOVELY SUNNY- DOWNTOWN- 2 BR APT.,40.42186,-3.70341
DESIGN PENTHOUSE ALONSO MARTINEZ!,40.42859,-3.69521
BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI,40.42123,-3.70133
?Quiet & Comfortable apartment **Superhost**,40.41018,-3.70164
LUXURY DUPLEX CENTER A/A-WIFI,40.42349,-3.70024
Wanda Stadium. Madrid. 20 minutes from Sol by tube,40.43202,-3.60353
Bed&Breakfast- 2 bedrooms for 3- at Latina,40.40996,-3.72491
NICE APT IN THE HEART OF MADRID !!!,40.42885,-3.70479
CENTRICO EN EL BARRIO DE LA LATINA,40.41322,-3.70949
ElRastro-Plaza Mayor. Air cond-WIFI,40.40655,-3.70629
Peaceful apartment in Madrid Centre,40.40808,-3.68338
2 bedroom apartment downtown Madrid,40.41234,-3.70186
Cozy room in penthouse in Madrid's heart,40.41155,-3.69492
Precioso  apartamento  céntrico  en Madrid,40.44117,-3.64841
