name,latitude,longitude
Private double room in quiet residential area,40.43965,-3.66629
Estudio de diseño con terraza- parking y piscina,40.45548,-3.66057
Apartamento moderno,40.39206,-3.67961
Cozy room near metro- with WiFi - A/C,40.44543,-3.67359
Charming flat Madrid City Center,40.43043,-3.6995
Apto. de lujo barrio letras,40.40977,-3.69593
Ático / Attic Dúplex Santa Ana,40.41639,-3.70079
loft cerca de atocha,40.39525,-3.66877
Luxury 4 Bedrooms in Golden Mile,40.42814,-3.68562
Habitación doble  confortable con baño privado.,40.41451,-3.71193
Cozy Double Room in city center of Madrid,40.41288,-3.70553
Apartment with courtyard C.Peñalver II,40.43001,-3.6744
habitacion amplia y luminosa chueca,40.4226,-3.69732
Bernabeu anda Campo Naciones,40.46104,-3.67464
Best location to visit Madrid!,40.42272,-3.69976
Apartamento en Tirso de molina,40.41114,-3.70406
Estudio de diseño- junto a Atocha,40.40183,-3.68913
Live&Enjoy La Latina Apartment,40.41328,-3.70776
Cozy apartment C. Peñalver I,40.43182,-3.67416
Live&Enjoy Plaza Mayor Apartment,40.41505,-3.7090
Stunning at old city center!!,40.41237,-3.70638
Cozy Apartment Downtown,40.4129,-3.70952
Piso en el centro del Madrid,40.41168,-3.69757
Gran Via Plaza Colon - Parking ask!,40.42169,-3.70304
Beautiful loft in Madrid,40.44398,-3.67502
Estudio acogedor y luminoso Tetuan,40.46161,-3.69782
Apart. Wifi Madrid Centre Malasaña.,40.42457,-3.70742
MADRID CITY CENTER  WIFI,40.40899,-3.70273
Chamberi-Individual con desayuno 2.,40.43601,-3.70904
Chamberí-Individual con desayuno 1.,40.43582,-3.70883
Live&Enjoy Madrid Apartment,40.41577,-3.70909
Estudio en pleno centro de Madrid.,40.41075,-3.69739
Cozy apartment in Madrid downtown.,40.4137,-3.69642
Room/2 with BREAKFAST in the CENTRE,40.41081,-3.69941
Apartamento. Barrio las Letras.,40.41197,-3.69708
Madrid centro- Atocha- Sol 10min***,40.40649,-3.6919
Piso amplio- mejor zona de MADRID centro SOL,40.41364,-3.70069
Apartment in the heart of Madrid- Puerta del Sol,40.41203,-3.70378
Center/Gran via apartment exclusive,40.42024,-3.70808
gran piso en el centro de Madrid,40.40268,-3.69735
ALOJAMIENTO ESPECIAL EN CONDE DUQUE,40.42768,-3.70899
Attic Apartment with Terrace,40.41033,-3.69622
Madrid down town Letras Chic- 4 people- 44 sq.m,40.41211,-3.6966
Apartamento en el centro de Madrid,40.41046,-3.6758
Excelente piso CENTRO  De MADRID barrio las Letras,40.41735,-3.69889
Apartment in the Heart of Madrid,40.40959,-3.7060
Apartamento en Madrid junto Plaza Mayor- Centro.CJ,40.41517,-3.70713
Gran Apartamento Las Cortes,40.4143,-3.70006
piso por el centro,40.40903,-3.7003
Cozy flat in the heart of Madrid - Superhost!,40.4215,-3.70341
Beautiful apartment- 1 stop Atocha,40.38397,-3.66743
HISTORIC CENTER: LATINA/PZA MAYOR/RASTRO- WIFI NEW,40.40831,-3.70718
Madrid en pequeño/in a Nutshell,40.42257,-3.71037
Quiet & cozy room 10' to Downtown,40.40102,-3.69224
I L??VE  MADRID  GRAN VIA - LOFT URBAN,40.42016,-3.70366
Habitación con baño privado en el centro,40.42364,-3.67495
BONITO-CÉNTRICO/NICE-CENTRAL WIFI,40.40733,-3.70487
Piso en Madrid Centro,40.41181,-3.72069
Piso para dos. Madrid Río. La Riviera,40.41339,-3.72531
Precioso piso de 120mt en el centro,40.41229,-3.70257
Excelente Apart  Centro Madrid,40.40935,-3.70732
Habitación privada en Madrid-Retiro,40.40592,-3.67066
From Madrid to paradise in my room,40.34964,-3.69113
PLAZA MAYOR BEST LOCATION- AC ALL HOME 3 BDR/2 BTH,40.41325,-3.7063
Chueca Loft,40.4243,-3.69794
At Home in Madrid 2- Huertas- Prado- (SANITIZED),40.41394,-3.70068
BEST LOCATION IN MADRID PRADO ATOCHA,40.41165,-3.69755
Habitación doble privada- super acogedora!!,40.41031,-3.69656
center of Madrid.Las Letras.,40.41692,-3.69881
Large apt in Malasana / Chueca !,40.42212,-3.69639
At Home in Madrid 3- Huertas- Prado- (SANITIZED),40.41443,-3.70218
Apartamento con terraza en Retiro,40.40741,-3.68165
At Home in Madrid 4- Huertas- Prado- (SANITIZED),40.41456,-3.70259
Alojamiento familiar en Madrid,40.38812,-3.65613
Habitación con Baño cerca de Retiro,40.41998,-3.67285
HABITACIÓN ESTUDIANTE - AVDA ILUSTRACIÓN,40.48029,-3.72217
Estudio Lujo zona Corazón de María,40.44741,-3.66282
Separate Room in Malasaña (Madrid),40.4276,-3.70431
Caixa Forum I,40.40994,-3.69324
Penthouse in the heart of Madrid,40.40925,-3.70261
Madrid en pleno centro,40.40938,-3.70845
APARTAMENTO 2 DORMITORIOS- 2 BAÑOS,40.44312,-3.67734
REAL SPANISH HOME PLAZA MAYOR,40.4161,-3.70611
Apartamento en el centro de Madrid.,40.42629,-3.70594
Acogedora casa junto C.C. Pleniluni,40.44293,-3.57959
Habitacion zona universitaria,40.4409,-3.71551
Apartamento 2 Habs en el retiro (2),40.41756,-3.67636
Opulencia y color en un apartamento de diseño en la Gran Vía,40.42261,-3.70301
1 MAGDALENA 38- QUIET AND CENTRAL,40.4123,-3.69983
MADRID RIVERSIDE + PARKING + POOL,40.38797,-3.69553
Modern & Spacious .. with a beautiful terrace!!,40.40918,-3.70552
Private room in Bernabéu's area,40.45737,-3.69689
Big room international environment,40.4122,-3.69862
MIGUEL SERVET- ATOCHA- REINA SOFIA,40.40589,-3.7019
Charming QUIET 5' Royal Palace La Latina?? WiFi,40.41233,-3.7110
Madrid centro- Atocha- Sol 10min *,40.40781,-3.69331
Madrid centro- Atocha- Sol 10min **,40.40802,-3.69243
Habitación en Piso de Estudiantes,40.48036,-3.72039
Tu hogar en Madrid. En el centro,40.43178,-3.66665
Modern Loft w/View Calle Fuencarral,40.42713,-3.70024
Centro- habitac. para 1 ó 2 .Con aseo.Gran%  meses,40.41123,-3.70477
La Latina- Style and Charm- AC all house- WIFI,40.41153,-3.70978
Apartament in Lavapies/Downtown - Parking optional,40.40781,-3.70429
Beautiful room: Atocha Renfe area -Puente Vallecas,40.39921,-3.66147
Comfortable Luxury Flat near Bernabéu Stadium,40.44821,-3.68291
Cuarto privado en Madrid,40.44312,-3.71512
Loft Auditorio  Nacional,40.44541,-3.67706
Piso lujo,40.45119,-3.68813
Céntrico apartamento madrileño,40.41077,-3.70607
Piso en barrio de Salamanca,40.43551,-3.68368
PLAZA MAYOR TIRSO DE MOLINA,40.41113,-3.70533
Piso Céntrico precioso 1 ó 2 hab. Todo nuevo. WIFI,40.43248,-3.6569
7. Habitación Exterior céntrica con balcón calle,40.42339,-3.7077
Céntrica y luminosa habitación,40.40764,-3.70021
Madrid center-Lavapies&Antón Martín,40.41029,-3.70021
Habitación en piso recién reformado,40.38514,-3.73805
COZY SINGLE,40.42489,-3.70027
1 Double room,40.42236,-3.65577
STUNNING Boutique Studio in CENTER LETRAS WIFI&AC,40.41495,-3.69886
Fantastico Loft Duplex Opción Garaje.,40.44037,-3.6251
CHARMING DOUBLE,40.42667,-3.69819
Apartamento Casa de Campo,40.39812,-3.76909
Piso acojedor // Cozy flat,40.43723,-3.66961
THE DOVE NEST apartment La Latina,40.40836,-3.71211
Centro- Sol habitación 1 ó 2. gran %por meses,40.41368,-3.70566
Habitación Privada-Baño compartido,40.42689,-3.66998
Luminoso LOFT + gran terraza + homecinema+ parking,40.43731,-3.62278
Apartamento Diseño- pleno centro.,40.42126,-3.71189
Alcalá Original loft+terraza y garaje opcional,40.43972,-3.62306
LATINA BRICK 2br 2ba Cen LIFT WIFI!,40.41441,-3.70293
PRETTY APARTMENT PLAZA MAYOR,40.41528,-3.71119
2 BR. Retiro. Spacious and Cozy,40.41691,-3.67242
Magnificent penthouse Center,40.40907,-3.73892
Céntrico y tranquilo apartamento,40.42412,-3.69855
Sofá Cama en Salón Casa Patio,40.39212,-3.67078
Casa nueva Madrid para 4/6 personas,40.39297,-3.68784
Cozy single room in Ibiza close to El Retiro Park,40.41992,-3.67856
Quiet- just renovated flat w/ patio,40.41109,-3.71649
Terrific Location with Video Projector and Netflix,40.42159,-3.70496
Singular estudio en  Puerta del Sol,40.41532,-3.70559
Loft perfecto para 3 personas,40.49015,-3.67229
Habitación en el centro de Madrid. Bien comunicada,40.40371,-3.69465
PERFECT room in La Latina,40.40906,-3.70475
Apartment for 4 people. Madrid Center,40.40994,-3.69843
Andres Mellado 23,40.4318,-3.71278
Light & silence close Plaza Mayor 3AC,40.41428,-3.7039
Oasis II: luxury by Prado&Cortes,40.4115,-3.6968
Independent room with private bathroom,40.41132,-3.70484
Excelente Apto Centro Madrid Rastro,40.40976,-3.70719
Habitación en Madrid,40.43479,-3.70753
Precioso apartamento 1 dorm Chueca,40.42244,-3.70095
Silva 2 (Fab),40.42092,-3.70887
Cute and cozy loft.,40.47077,-3.70091
Single room,40.42221,-3.65606
Pequeño estudio muy céntrico,40.41359,-3.69684
Luxury duplex w/garden- Reina Sofía,40.40978,-3.69378
Habitación viajero |Traveler room,40.42653,-3.63028
Apartment New- Gran Vía-Sol WIFI,40.41975,-3.70119
Habitación cuqui,40.41097,-3.69824
habitación en Madrid capital,40.38667,-3.73143
Best location!Spacious- cute. WIFI. Puerta del Sol,40.41524,-3.70229
Huge room with terrace-Heart Madrid,40.41133,-3.70853
Deluxe &brand new apartment in SOL-Gran Via,40.41914,-3.70276
Huge and cozy flat in Sol,40.41778,-3.70337
Double bed room Lavapies Madrid,40.40772,-3.69976
Estudio Madrid Bernabeu Cuzco,40.45902,-3.69852
Room in Callao + free bicycle.,40.42022,-3.70641
Amazing sunny Double room,40.43615,-3.66035
Habitacion privada y muy luminosa,40.43567,-3.65974
Double room with private bathroom,40.40435,-3.69709
Bedr+private bath Santiago Bernabeu,40.45485,-3.6956
Modern and luminous 15min walking Gran Vía street,40.4094,-3.70109
Habitación disponible solo por larga estancia,40.42546,-3.70647
Apto en Lavapiés- ideal para pareja,40.40815,-3.70168
Malasaña Centro Madrid,40.42741,-3.70434
Room in Santiago Bernabéu's area,40.45598,-3.69613
Exclusivo apartamento en el Centro,40.41161,-3.70356
Big and Bright room downtown,40.41101,-3.70053
Habitación céntrica  en piso amplio y luminoso,40.45315,-3.70484
~ Fantástico loft en pleno Retiro ~,40.42202,-3.68654
Apartamento en Sol,40.41486,-3.70944
Excellent view to the city,40.39054,-3.65474
Estudio con Wifi en Madrid Centro,40.40925,-3.69887
Splendid apt 2br-2ba-ac near Plaza Mayor- LaLatina,40.40902,-3.70913
Pequeño apartamento Madrid capital,40.4443,-3.58335
Ambiente familiar y tranquilo,40.42703,-3.70974
LATINA SOL Best tapas areaLIFT WIFI,40.41609,-3.70705
FLAT IN THE CITY CENTER OF MADRID,40.42499,-3.70477
Cozy Flat located in the Centre of Madrid!,40.40637,-3.69424
Apartamento acogedor en Chamberi,40.43085,-3.69728
Beautiful- modern flat - Santa Ana!,40.41484,-3.70031
COZY- CENTRIC IN FRONT OF RETIRO PARK. AC*  WIFI,40.41816,-3.67784
Relaxing cup of coffe in PlazaMayor,40.41272,-3.70909
Prado Terrace Moratín.,40.41309,-3.69531
SOL LUXURY APARTAMENTOS,40.41369,-3.70578
CITY CENTER GRAN VÍA 4P,40.42029,-3.70305
Apartment near Plaza Mayor,40.41745,-3.7076
HABITACION CAMA DOBLE EXTERIOR,40.38932,-3.66085
Habitación en piso con terraza grande,40.40982,-3.7071
Bright- cozy and well-located apartment in Madrid,40.44072,-3.70703
Quiet- bright and central apartment,40.45241,-3.70917
Beautiful flat in Callao,40.41948,-3.70707
habitacion en la Latina-Rastro,40.40957,-3.7072
Habit. doble para Navidad en Madrid,40.3984,-3.71829
MADRID CENTRO. DUPLEX CON TERRAZA,40.42403,-3.70304
Habitación - Estudio Fotográfico 15 min del centro,40.4327,-3.65452
Comfortable single room,40.38647,-3.66726
Bright & cozy¡,40.45558,-3.67966
Modern 2 bedroom flat next Retiro,40.41654,-3.67519
Luxury apartment GRAN VIA / CALLAO,40.42003,-3.70567
CENTER/OPERA. Ozone Cleaning. Lift. A/C. Quiet!,40.41902,-3.7085
Cheapest Room in Center of Madrid,40.41323,-3.72365
Golden Mile Cozy Stylish Apartment,40.43012,-3.68594
Sunny and very comfortable double room,40.43427,-3.65808
House on Madrid Rooms in Madrid Casa en madrid,40.40595,-3.61701
Dúplex Studio Modern + Comfortable,40.42325,-3.69959
Nice bedroom in nice flat - full centre - 2,40.42206,-3.71118
Cross Check B.Salamanca Apartment,40.43033,-3.6695
1-8.Las Cortes.Sol.Madrid Center. 70m2.Bright.A.C.,40.41593,-3.69772
At Home in Madrid 6- Huertas- Prado- (SANITIZED),40.41394,-3.70068
Room in the centre of Madrid,40.42523,-3.70095
Estudio totalmente equipado.,40.46421,-3.69404
Great studio in the main center of Madrid.,40.42233,-3.70282
Apartamento El Rastro 2,40.40963,-3.70855
Bright & cozy -1 BD City Center (La Latina),40.4137,-3.70922
Simple Room,40.39104,-3.76326
PISO GRANDE/CENTRO MADRID WIFI,40.41306,-3.70391
Piso exclusivo Chamartín,40.46054,-3.67988
Habitacion centrica y confortable en pleno centro.,40.42111,-3.70301
Con transporte conveniente,40.41575,-3.70487
Alquiler habitacion c. sangenjo- 12,40.48486,-3.70343
Nice sunny apartment in Madrid,40.40642,-3.73264
habitación individual- con baño,40.39527,-3.68228
Duplex penthouse Madrid Airport IFEMA,40.48,-3.63034
Centro de Madrid!!!,40.4095,-3.69947
Cool Room,40.39104,-3.76351
Bernabéu | Cuzco | Luxury Apartment - Parking??,40.45752,-3.6938
New luxury Puerta del Sol,40.41784,-3.70649
Apartment Mayor,40.41597,-3.70845
Semiloft en Gran Via / Malasaña,40.42102,-3.70609
Smart Room en LATINA,40.4087,-3.71347
Comfortable Room with bath for  1 or 2 people.,40.35107,-3.70772
Piso ideal en el Corazon de Madrid,40.42283,-3.70079
Apartamento Chamberí,40.43835,-3.69464
Diseño en el barrio de Salamanca,40.43522,-3.67175
Apartamento nuevo y amueblado,40.39493,-3.6953
APARTAMENTO FUENCARRAL,40.42181,-3.69992
APARTMENT 6PAX GRAN VIA CENTRO PUERTA SOL MALASAÑA,40.42004,-3.70343
Cosy room in the center of Madrid.,40.39627,-3.71638
Apartment in SOL,40.41805,-3.70146
Quiet flat in city centre - aircon,40.41258,-3.71123
Bonita Habitación en Madrid,40.43309,-3.65751
Casa llena de color,40.44255,-3.65286
Stylish & Spacious apartment in historic building,40.41272,-3.70245
CÓMODA HABITACIÓN CON BAÑO GRAN VIA,40.42162,-3.70496
Piso,40.39553,-3.66905
LOCATION . LOCATION . LOCATION (F42),40.4240,-3.70124
HABITACIÓN enÁTICOconVISTAS-CENTRO,40.41059,-3.70751
HABITACIÓN DOBLE. CENTRO. LA LATINA,40.40917,-3.70882
CENTRO. Bonito piso en la Latina.,40.40921,-3.7107
Centro de Madrid coqueto y funcional-WIFI VT-2170,40.40973,-3.69974
ATOCHA CITY CENTER:COZY- SUNNY- RELAX-WIFI-18 m2,40.40159,-3.68876
MaMeMi: Madrid Mercado San Miguel.,40.4147,-3.70838
Apartment Callao/Gran Vía,40.42136,-3.70478
Excellent double room,40.38701,-3.66621
Habitación individual mona,40.43263,-3.60358
Ático en Chamberí,40.43834,-3.69452
Habitación Piso Centro Madrid,40.39501,-3.69991
Sunny- cosy room in peaceful zone 15 mins from Sol,40.44341,-3.70141
Habitacion Persona sola Madrid,40.38581,-3.65046
Moderno estudio para 3pax- GRAN VÍA- 22M2,40.4211,-3.70205
Apartamento de lujo en Madrid S14 D,40.42841,-3.69956
Delicious room in the heart of  Madrid,40.42378,-3.70813
Amazing Apartament in Malasaña.,40.42291,-3.70491
Beautiful Flat in Madrid Center,40.41727,-3.70954
Apart-Hotel Jardines de Sabatini***,40.42234,-3.71549
Bajo - jardín privado CC Plenilunio,40.44614,-3.5872
Cozy Studio IFEMA. Gym- garden- pool..,40.45732,-3.62707
Habitación bonita y céntrica.,40.41126,-3.70881
ARGÜELLES ROYAL PALACE 2 ENSUITE  BATHS 2 BR WIFI,40.43296,-3.71897
Tu hogar en Madrid,40.40191,-3.64424
Habitación estudio en Arturo Soria,40.45857,-3.65921
Great apartment in the center/wifi,40.42261,-3.70154
El Loft de San Juan,40.42691,-3.70965
Hab.1/2/3.Per- SmartTV+Netflix- AirCond.WiFi,40.38598,-3.70251
Sofa bed in the living room,40.39706,-3.66805
Casa Blanca con mucha energía desinfectada.,40.4150,-3.7062
Bonito Estudio Centro Malasaña,40.42395,-3.70531
Cosy apartment - bed or whole apt,40.44336,-3.67627
Beautiful big room close to the city center,40.43667,-3.64494
DOWNTOWN-ATOCHA-Museums mile-Railway11PAX-WIFI-A/C,40.40554,-3.69092
Bright duplex penthouse for 4/6 pax,40.39176,-3.66583
City Center & La Latina & Cosy,40.40727,-3.70954
Apartamento Opera-  Fuentes I,40.41929,-3.70875
Elegant and luminous flat in Madrid,40.44778,-3.70901
Apartment in Felipe II square,40.42288,-3.67447
Suit de lujo con jacuzzi,40.43203,-3.70585
Piso/wifi: Paseo de las Acacias,40.40547,-3.70552
"ESTUDIO""SOL""",40.41547,-3.70638
vivienda cerca de IFEMA- Aeropuerto y Wanda.,40.43225,-3.62502
Acogedora casa a 15 min del centro 1,40.4634,-3.72332
AEROPUERTO,40.47061,-3.58652
Luminoso- nuevo y exterior : Atocha,40.40095,-3.67168
Double room near the center,40.3951,-3.69793
COZY BEDROOM IN GRAN VIA,40.41909,-3.70285
Apartament in Center of Madrid- Atocha,40.40038,-3.69491
Habitación 1 o 2  Madrid Centro,40.42695,-3.70771
Habitacion privada.Centro- econ . P,40.45721,-3.69439
Nice apartment near the airport.,40.4736,-3.66628
La Bohardilla de Laura,40.41797,-3.70246
Big Double room in front of Retiro,40.41929,-3.67875
Great view- renovated on Castellana,40.46082,-3.69041
Habitación amplían con ventana,40.42004,-3.71037
Excellent apartment in Malasaña,40.4203,-3.70231
Nice studio in Madrid center,40.40833,-3.69961
Cibeles - centro de Madrid.oferta.,40.41683,-3.69453
Cozy apartment near Madrid Rio,40.39319,-3.69699
Single room 1,40.40167,-3.63773
Piso tranquilo centro de Madrid,40.40888,-3.70104
Apartamento Sol- centric and quiet,40.41482,-3.70093
CoV19 Free Beautiful Apt. Historic District - Sol,40.41691,-3.70374
CoV19 Free Charming Apt. Historic District - Sol,40.41539,-3.70344
Design Puerta Del Sol (M2),40.41575,-3.70374
Habitación doble Chueca- Madrid,40.42296,-3.70118
Sunny Loft Studio in Madrid.,40.44058,-3.67674
Centro Apartment,40.41516,-3.70093
Plaza Mayor y Puerta del Sol. Bonita habitación.,40.4169,-3.7071
Chulísima habitación en el centro!,40.42995,-3.70056
Nice Room in Attic Atocha-Renfe,40.40121,-3.68741
Hipster apartment  in the trendiest area of Madrid,40.42199,-3.69684
Habitacion grande y privada,40.44591,-3.66915
Sol Imperial Apartment 121,40.41736,-3.70361
randy i'm easy going and respectful,40.42311,-3.66497
Cozy big apartment near Reina Sofia,40.4035,-3.69574
HABITACION AMPLIA Y COMODA,40.38957,-3.66105
Best Location Loft! Cute- WIFI! Puerta del Sol,40.41527,-3.70075
Studio steps from Atocha Train Station and Center.,40.40802,-3.68939
Private Room and Bathroom in Modern B&B Apartment,40.48763,-3.70181
Confortable room in Madrid Capital,40.3892,-3.7273
Room Mate Madrid - Luxury living in Madrid center- 6GB | PREMIUM ROOM,40.43901,-3.70334
Casa baja junto Caja Mágica,40.37164,-3.6876
Madrid Studio Apartments,40.4715,-3.68608
Estudio en el corazón de Chamberí,40.43121,-3.70106
Cozy & bright penthouse PLAZA MAYOR,40.41555,-3.70778
Habitación privada con baño de uso individual,40.39922,-3.71953
A beautiful apartment in Salamanca - Madrid,40.42585,-3.67674
Habitacion muy cómoda y acogedora!,40.47777,-3.70417
LOFT IN Salamanca NH,40.42628,-3.67923
"Under roof studio in ""old"" Madrid",40.41853,-3.71194
Madrid - Apartamento 1A,40.4178,-3.70069
Madrid - Apartamento 2A,40.41794,-3.70179
Madrid - Apartamento 3A,40.41992,-3.70052
Madrid - Apartamento 1D,40.41788,-3.7012
Habitación doble,40.45645,-3.71611
Apartamento en el barrio de moda,40.4087,-3.70056
Cosy big room in the center.,40.40297,-3.69797
Habitación en Puerta de toledo (Madrid),40.40706,-3.70801
Penthouse with terrace at La Latina,40.41079,-3.70844
Madrid - Apartamento 2D,40.41936,-3.70012
Madrid - Apartamento 3D,40.41959,-3.70024
Madrid - Studio 1B,40.42003,-3.7020
Madrid - Studio 1C,40.41793,-3.7007
Madrid - Studio 2B,40.41777,-3.7020
Madrid Studio - 2C,40.41784,-3.70171
Madrid - Studio 3B,40.41825,-3.70007
Madrid - Studio 3C,40.41809,-3.70002
Madrid - Espectacular Atico,40.41973,-3.70049
B. H.  Plaza Mayor,40.41355,-3.70783
Apartamento de diseño en La Latina,40.41153,-3.70668
Piso Avenida de America 10,40.4405,-3.66995
Apartamento en el centro,40.42773,-3.71401
Habitación en Marqués de Vadillo,40.39638,-3.71637
Piso espacioso Barrio Salamanca,40.43456,-3.68506
Alquiler Habitacion Fin de Semana,40.3903,-3.68939
Estudio completo TINY BLUE MOON,40.42428,-3.66675
Charming apartment Reina Sofía WIFI,40.40654,-3.69473
Your Madrid Home,40.43863,-3.70094
Luminoso y acojedor Piso en Madrid,40.39099,-3.72771
Room in Madrid Capital,40.3891,-3.72559
Amplia vivienda exterior Caja Mágica- 50€ noche,40.36745,-3.68788
PENTHOUSE w/ Swimming Pool,40.43685,-3.68796
Apartment in Royal Palace,40.4234,-3.71793
Piso Wanda/Julian Camarillo 4P.,40.43184,-3.62333
Aeropuerto-Ifema-RMciudad deportiva,40.49593,-3.6150
Big apartment in Madrid center,40.42541,-3.70834
Precioso duplex cercano al centro.,40.38874,-3.70073
Design Penthouse downtown Madrid,40.42406,-3.70274
Cosy Room with TV in our apart.,40.41041,-3.70701
Cozy loft centro de Madrid Wifi-calefacción,40.42543,-3.69963
ROYAL PALACE-OPERA (GREAT VIEWS),40.41663,-3.70876
APARTMENT 6PAX GRAN VIA CENTRO PUERTA SOL MALASAÑA,40.42327,-3.70688
ATTIC with TERRACE,40.45058,-3.70062
In front Madrid-Río Park III,40.39535,-3.7004
Quiet room in modern apartment.,40.43096,-3.65235
CHAMBRE LIT DOUBLE 2 BALCONS A SOL,40.41735,-3.70188
habitacion barata centro madrid,40.41354,-3.70415
EXCLUSIVA HABITACION,40.44626,-3.5853
Precioso Apto. céntrico totalmente equipado,40.44416,-3.66821
Alojamiento familiar para 1 o 2 personas en Madrid,40.3862,-3.65555
Apartamento en barrio de Salamanca,40.4248,-3.67823
Double room - Madrid Center,40.42824,-3.72032
Habitación privada. Barrio Salamanca,40.4224,-3.6745
City Centre new room en suite,40.4251,-3.70884
Cozy Room Latina,40.40594,-3.71123
Fuencarral Apartment C,40.42963,-3.70247
Espectacular apartamento en pleno centro de Madrid,40.42932,-3.7055
Little room in La Latina,40.40799,-3.71161
Appartement 70 squared meter Madrid,40.43615,-3.68095
Palace Style -Barrio de Salamanca,40.42918,-3.6794
Habitación exterior tranquila,40.46938,-3.7170
Atenas Park view!,40.41257,-3.71764
Apartamento Madrid Centro,40.41324,-3.70755
Madrid  Centro - Cipri´s House. Museos. Familiar,40.40693,-3.70098
Apartamento con Altillo. Centro. C/Toledo,40.41454,-3.70688
plaza mayor-sol,40.41424,-3.7074
Plaza Mayor- Puerta del Sol,40.41604,-3.70608
Renewed apartment in Madrid,40.42844,-3.71922
Apartamento Mar de Cristal?Parking?AC,40.47067,-3.64381
Basement in the heart of Madrid,40.41283,-3.70565
IN GOLDEN MILE,40.43062,-3.68444
La Buhardilla de la villa,40.41258,-3.70754
Habitaciòn en piso en Madrid centro,40.41021,-3.6958
Explore Tapas Bars near an Apartment in a Hip Central Area,40.42357,-3.70857
Plaza Mayor,40.41526,-3.70656
Madrid Rio-Matadero II,40.39524,-3.70052
Parque Madrid Rio- Matadero IV,40.39524,-3.70052
Habitación Arguelles,40.43163,-3.71287
Cozy 2 bedroom apartment in the center of Madrid,40.4291,-3.70092
Room close to Gran Vía. 5 bedroom apartment,40.42073,-3.6999
Estudio en pleno centro de Madrid,40.41054,-3.7101
Room for 3 people in Gran Via area,40.42073,-3.6999
Room with 2 double beds (in bunk). Gran Via,40.42073,-3.6999
Modern Apartment in Madrid Center,40.42519,-3.70789
Beautiful room w/double and single bed- Madrid ctr,40.42073,-3.6999
Bunk bed for 2 people in Gran Via area,40.42073,-3.6999
5 BEDROOMS IN THE HEART OF MADRID,40.42073,-3.6999
Apartamento en el centro de Madrid,40.40997,-3.70893
Un refugio en la ciudad,40.49216,-3.70627
Modern and sunny flat in Gran Via,40.41871,-3.7031
Beatifull appartment in Justicia,40.42701,-3.69768
APARTMENT 2PAX GRAN VIA CENTRO PUERTA SOL MALASAÑA,40.41953,-3.70502
Modern Comfortable central Madrid,40.41172,-3.70362
1,40.41594,-3.70966
APARTMENT 3PAX GRAN VIA CENTRO PUERTA SOL MALASAÑA,40.42167,-3.70533
Ideal- conoce lo mejor de Madrid,40.4247,-3.71118
Habitación céntrica con baño privado y aire acond.,40.41128,-3.7016
Double Room close to the City Center,40.42526,-3.66765
El corazon de Lavapies,40.41061,-3.69966
Excellent city view I (double),40.39122,-3.65306
Heima Homes Puerta del Sol - Palacio Real,40.41909,-3.70834
Piso ideal para disfrutar Madrid  (VT-4185),40.43725,-3.69797
HABITACIÓN EN EL CENTRO DE MADRID,40.40976,-3.70872
Piso en inmejorable ubicación,40.42522,-3.68642
Exterior. ZONA imperial AREA,40.40822,-3.71328
Pequeña Habitación-   Bien Comunicado sin COVIT 19,40.38819,-3.70318
-- DOUBLE ROOM IN BEAUTIFUL DUPLEX --,40.46458,-3.64829
Cerca a Madrid centro y aeropuerto,40.47784,-3.70423
Alquilo Habitación,40.43508,-3.70741
Sunny Flat - Madrid Center,40.40862,-3.70223
Apartamento en el centro de madrid,40.41418,-3.69789
Spacious and Luminous room ATOCHA,40.40197,-3.69215
Exterior- luminosa- cerca centro.,40.40427,-3.65948
Encantador piso en Centro de Madrid,40.42373,-3.70519
Master Suite well located / Old Madrid-  3/4 pax,40.41138,-3.71289
Apartamento completo en La latina,40.40924,-3.71376
Latina en Pequeño/in a nutshellWifi,40.40487,-3.71288
Malasaña Experience-Awesome flat in the center,40.42443,-3.70231
Apartamento de 1 dormitorio con terraza en Cuzco,40.45839,-3.69544
Apto. reformado CENTRO - CHAMBERI,40.42942,-3.69851
ADELFAS 04 RESIDENTIAL STUDIO 4 PAX,40.40142,-3.6680
Bonita habitación en el centro de Madrid,40.4013,-3.69229
ADELFAS 06 RESIDENTIAL ONE BEDROOM,40.40216,-3.66815
DÚPLEX CENTRO-LA LATINA CON TERRAZA- PARKING- 5PAX,40.40699,-3.70759
ADELFAS 13 RESIDENTIAL STUDIO.,40.40119,-3.66999
ADELFAS 06 RESIDENTIAL ONE BEDROOM,40.40065,-3.6679
ADELFAS 12 RESIDENTIAL ONE BEDROOM,40.40256,-3.66835
ADELFAS 10 RESIDENTIAL ONE BEDROOM,40.40205,-3.66798
Duplex Rustic Style in Commercial Zone,40.44744,-3.70132
Habitacion privada,40.42716,-3.67975
ADELFAS 11 RESIDENTIAL TWO BEDROOMS WITH TERRACE,40.40249,-3.66833
ADELFAS 15 RESIDENTIAL DUPLEX 3 BEDROOM TERRACE,40.40059,-3.66933
Habitacion individual en Barrio de Salamanca,40.42523,-3.68002
La villa de avenida de america,40.43908,-3.67464
10' to Centre Cozy and clean 2 pieces aparment,40.39725,-3.6954
Live Madrid. Magnificent 3 rooms/6 people,40.35627,-3.69595
Nice and comfy studio- in the heart of Malasaña,40.4250,-3.70647
