id;name;host_id;host_since;host_response_time;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified
6369;Rooftop terrace room ,  ensuite bathroom;13660;16/04/2009;within an hour;75;1;1;1
21853;Bright and airy room;83531;21/02/2010;Sin definir;0;0;2;1
23001;Apartmento Arganzuela- Madrid Rio;82175;17/02/2010;within an hour;0;0;10;1
24805;Gran Via Studio Madrid;346366726;15/05/2020;Sin definir;0;0;1;0
26825;Single Room whith private Bathroom;114340;27/04/2010;Sin definir;0;0;1;1
28200;Apartamento Arganzuela Planetario;82175;17/02/2010;within an hour;0;0;10;1
30320;Great Vacational Apartments;130907;24/05/2010;Sin definir;0;0;3;0
30959;Beautiful loft in Madrid Center;132883;26/05/2010;Sin definir;0;0;1;0
37859;PISO, OPERA, MADRID, GRANDE;162701;10/07/2010;within an hour;97;1;1;1
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435;25/05/2015;within an hour;97;1;16;1
40916;Holiday Apartment Madrid Center;130907;24/05/2010;Sin definir;0;0;3;0
47957;Amazing Apartment, Salamanca Distri;218515;31/08/2010;a few days or more;0;0;1;1
59923;Habitación para féminas en el centro de Madrid;288380;01/12/1999;Sin definir;0;0;-99;0
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845;29/11/2010;within an hour;100;0;2;1
64131;Habitación Metro Lacoma;313365;08/12/2010;within an hour;80;1;3;1
70059;Tu hogar en centro de Madrid.;353616;19/01/2011;within a few hours;100;1;3;1
70316;Superbly located Monthly rental Bills Incl.;353738;19/01/2011;within an hour;100;1;6;1
72150;Sunny attic duplex flat with terrace next to Sol;364585;27/01/2011;within a day;77;0;4;1
74352;Cozy apartment in the coolest  neighbourhood;391014;14/02/2011;within an hour;0;0;1;1
75609;Estudio Museo Dino;401552;20/02/2011;within an hour;100;0;2;0
82481;Retiro Park, Stay at cosy studio;448981;18/03/2011;Sin definir;0;0;1;1
84719;Cool Apart. (10min Center + WIFI);259229;11/10/2010;within a few hours;0;0;1;1
86042;Cozy attic with intimate rooftop terrace+ elevator;364585;27/01/2011;within a day;77;0;4;1
89954;Amazing apt in the historic center;487095;05/04/2011;within a few hours;0;1;1;1
92920;Bedroom in Chueca Madrid;495849;09/04/2011;Sin definir;0;1;1;1
93100;*** MALASAÑA B&B ***;499977;11/04/2011;within an hour;100;1;4;1
96807;double room, bathroom;513331;16/04/2011;Sin definir;0;0;7;0
100411;Ático muy luminoso;527760;22/04/2011;Sin definir;0;0;1;1
101507;NICE FLAT IN THE CENTER OF MADRID;5795235;06/04/2013;within a day;83;0;5;1
102040;Nice Single Room with wifi.;533936;25/04/2011;Sin definir;0;0;1;0
102194;Chic apartment CHUECA totally soundproofed;534515;25/04/2011;Sin definir;0;0;1;1
103541;CENTRAL AND COMFORT APTO. W/PARKING;361930;25/01/2011;within a few hours;100;0;6;0
114854;NICE CENTRAL TOURISM-BUSINESS APTO;361930;25/01/2011;within a few hours;100;0;6;0
119389;Madrid Apartment Latina;378073;05/02/2011;within an hour;100;0;9;1
120293;ROOM IN THE CENTER -LA LATINA- WIFI;605612;19/05/2011;within an hour;100;0;4;1
120762;SHINY ROOM in DOWNTOWN / MALASAÑA!!;606925;20/05/2011;within a day;100;1;3;1
123864;LOVELY STUDIO IN OLD TOWN-A/C-WIFI;605612;19/05/2011;within an hour;100;0;4;1
127819;140 m2 Architect flat - Madrid center;632589;27/05/2011;within an hour;100;0;1;1
132428;Habitacion en Anton Martin;650803;01/06/2011;Sin definir;100;1;1;1
136058;Calm, affordable room in Madrid.;666482;05/06/2011;Sin definir;0;0;1;1
154224;NICE FLAT SANTA ANA.45m2 WIFI (A);740087;24/06/2011;Sin definir;100;0;9;1
163429;Centrical loft in Madrid (Chamberi);780107;01/12/1999;Sin definir;0;0;-99;0
167183;private house B & B. Arturo Soria (Metro);796746;09/07/2011;a few days or more;0;0;1;0
170750;2-bedroom attic & rooftop terrace;814490;13/07/2011;Sin definir;0;0;3;0
171144;Penthouse in PALACIO with 2 ROOMS;816497;13/07/2011;within an hour;75;0;1;1
177523;★STAYCATION★ Centro - Exclusivo, Estudio Diseño;596469;17/05/2011;within an hour;97;0;32;1
177846;HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ;850654;21/07/2011;within an hour;0;0;4;1
177850;PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA;850654;21/07/2011;within an hour;0;0;4;1
196197;Views of San Andres Baroque from a Central Madrid Apartment;852616;22/07/2011;within an hour;100;0;3;1
199016;Room in central top floor with 2 terraces;967721;14/08/2011;within a day;0;0;2;1
199201;Converted theatre, historic centre;749212;27/06/2011;within a day;0;1;1;1
200828;FRENTE MAR, ZONA CALAS. PISCINA.;75944;31/01/2010;Sin definir;0;0;5;0
201033;Shiny Room in Malasaña II/Center;606925;20/05/2011;within a day;100;1;3;1
204570;Lovely 110m2 home - Best location!;1004721;22/08/2011;within an hour;100;0;1;0
205199;Tafari Gran Via;1008659;23/08/2011;within an hour;100;1;2;1
207275;Bedroom with views;124972;14/05/2010;within a few hours;84;1;7;1
209373;Attic in the Heart of Madrid-WIFI;1031664;28/08/2011;Sin definir;33;0;1;1
209780;The Mad B&B - Cool 3BD with Wifi & AC;669927;06/06/2011;within an hour;100;0;2;1
211444;Private Room in a Sunny and Luxuriously Appointed Apartment;1090760;31/08/2011;within a few hours;100;1;1;0
217674;PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY;1732442;10/02/2012;within a day;73;0;13;1
219303;*** Malasaña B&B exterior***;499977;11/04/2011;within an hour;100;1;4;1
225462;Bright silent room in the center;1174648;18/09/2011;within an hour;0;0;1;1
225489;Madrid City Center. Room for 1 or 2 people.;1172225;17/09/2011;a few days or more;0;0;1;0
229664;Beautiful cozy loft madrid center;1130651;08/09/2011;within a few hours;100;0;8;1
231861;COMFORTABLE ROOM IN A GREAT AREA!!!;1212528;26/09/2011;Sin definir;0;0;1;1
240128;CHEAP  ROOM ONLY GIRLS OR COUPLES;630482;26/05/2011;Sin definir;0;0;2;1
256004;CASA ARCO CUCHILLEROS-BOTIN;1732442;10/02/2012;within a day;73;0;13;1
260656;Quiet duplex apartment in Lavapiés;1367452;03/11/2011;Sin definir;0;1;1;0
260951;"Spectacular Loft ""A"" Ifema  Madrid";1351865;30/10/2011;within a few hours;92;1;4;1
261878;GREAT STUDIO! BEST REVIEWS! CENTRAL;1373873;05/11/2011;within a few hours;73;1;1;1
263748;"LOFT ""C"" modern design loft IFEMA";1351865;30/10/2011;within a few hours;92;1;4;1
268275;Madrid center with balconies;1406073;14/11/2011;within a day;100;0;2;1
280733;Stylish apartment you will love with balconies;596469;17/05/2011;within an hour;97;0;32;1
281224;Central & Comfy Apartment in Opera - Royal Palace;1466005;02/12/2011;within an hour;100;0;1;1
282195;Winter Offer 40m2 Wifi. Centre O;740087;24/06/2011;Sin definir;100;0;9;1
282196;COZY FLAT, SANTA ANA,40m2,WIFI (I);740087;24/06/2011;Sin definir;100;0;9;1
282715;Cozy and Luxury Penthouse, GL*****Madrid;1473247;05/12/2011;within a few hours;17;1;1;1
283862;CENTER HISTORICAL, SOL, DUPLEX;1478367;06/12/2011;Sin definir;100;1;1;0
287660;Beatiful downtown room with balcony;1496188;12/12/2011;Sin definir;0;0;2;1
289555;Casa Museo del Prado-Private room.;901218;01/08/2011;within an hour;97;0;41;1
294520;Centro de Madrid Gran Habitación;1522694;20/12/2011;within a few hours;0;0;6;1
294529;Centro de Madrid. Room 3;1522694;20/12/2011;within a few hours;0;0;6;1
297017;Charming Prado Luxury;4677030;12/01/2013;within an hour;98;0;12;1
310333;Central, cute & Art Apartment;1596220;11/01/2012;within an hour;89;1;1;1
310678;Precioso apartamento en Gran Via;1598163;12/01/2012;Sin definir;0;1;1;1
315682;QUIET and SPACIOUS .Heart of Malasaña.Madrid.;1095831;01/09/2011;a few days or more;0;0;5;1
316711;OPERA, PALACIO REAL, CENTRO, SOL;162701;10/07/2010;within an hour;97;1;1;1
333974;Winter froml 34€per.Centric.Wifi E;740087;24/06/2011;Sin definir;100;0;9;1
336672;Great apartment ∞4 rooms∞ close to City Center;1716726;07/02/2012;within a day;100;1;5;1
336834;2 bedroom apartament in Chueca-Fuen;1713427;07/02/2012;within an hour;75;1;1;1
336869;Direct to Plaza Mayor!;1713524;07/02/2012;Sin definir;0;1;2;1
337292;Principe de Vergara. Homey Room;1714866;07/02/2012;Sin definir;0;0;1;0
339144;COZY APARTMENT MADRID MALASAÑA;1721158;08/02/2012;within a few hours;80;1;1;1
339171;PRADO MUSEUM AIR & OnSiteParking (*);1722284;08/02/2012;within an hour;100;0;2;1
339813;Room in Madrid Center good ambient;1713273;07/02/2012;Sin definir;0;0;2;1
341939;Self-catering Apartment in Madrid;1694537;03/02/2012;within a few hours;100;0;1;0
342095;Lovely apartment CENTRAL MADRID !;1703448;05/02/2012;within a few hours;67;1;2;1
342557;Berlin's Park at your window. Parking included.;1738288;12/02/2012;within an hour;70;0;2;1
342952;Special price 29€ per.Center.Wifi U;740087;24/06/2011;Sin definir;100;0;9;1
345195;DUPLO Heart of Madrid/Malasaña;1095831;01/09/2011;a few days or more;0;0;5;1
345230;GOYA apartment.Heart of Madrid;1095831;01/09/2011;a few days or more;0;0;5;1
345233;MIRO apartment.Heart of Madrid;1095831;01/09/2011;a few days or more;0;0;5;1
345249;CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT;1751133;14/02/2012;within an hour;100;0;2;1
347510;Classy Central Family Alcalá Deluxe;1751133;14/02/2012;within an hour;100;0;2;1
354838;Entire apartment Plaza de España!;1496188;12/12/2011;Sin definir;0;0;2;1
361053;Cozy, luminous  excellenty placed;1729503;10/02/2012;within a few hours;71;0;3;1
363476;PUERTA DEL SOL-QUIET DOWNTOWN;1836617;01/03/2012;within an hour;100;0;1;0
371532;Fantastic Location. Great apartment, Opera;1871034;06/03/2012;Sin definir;100;1;1;1
375472;Host family in the center of Madrid;1888816;09/03/2012;within an hour;100;1;4;1
376379;Great Studio for Rent in Madrid;1892467;09/03/2012;within a few hours;0;0;3;1
377151;private house in elegant neiborhood;1895571;10/03/2012;within a few hours;47;0;2;0
391795;Quiet room in a terraced house;1958516;18/03/2012;within a day;50;0;2;1
396532;Apart. 25mts from Gran Via,exterior;1981346;21/03/2012;Sin definir;0;1;1;0
406341;Quiet downtown Madrid, nearby all;2024487;28/03/2012;within an hour;100;1;1;1
406697;Lovely & Cozy Apartment Center;1973909;20/03/2012;Sin definir;0;0;1;1
410699;80m2 spacious bright loft apartment;2044655;31/03/2012;within a few hours;25;1;7;1
415967;LAVAPIES CLASSY (CENTER TOWN);2068619;04/04/2012;within a day;0;0;1;1
416705;Quiet room in a two level house;1958516;18/03/2012;within a day;50;0;2;1
420039;Bonito estudio en pleno centro;9934732;11/11/2013;within an hour;99;0;4;1
423655;Tribunal Apartment;1719263;08/02/2012;Sin definir;0;0;3;1
424816;Habitación privada en apartamento..;2111994;01/12/1999;Sin definir;0;0;-99;0
427407;study sol-atocha I;2106353;10/04/2012;Sin definir;0;0;0;1
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;2134007;13/04/2012;within an hour;96;1;2;1
429604;sol-atocha II study;2106353;10/04/2012;Sin definir;0;0;0;1
431806;CHARMING SUITE IN MADRID'S LEDGE;2146727;15/04/2012;within an hour;100;0;4;1
435010;Cute penthouse room in Madrid!!!;2160658;01/12/1999;Sin definir;0;0;-99;0
439715;Chueca Secret Apartment;2184106;20/04/2012;within an hour;100;0;0;1
440596;Quiet Central Apartment with WiFi;1280726;12/10/2011;Sin definir;0;0;1;0
442986;madrid center chueca house wiffi;2201302;23/04/2012;Sin definir;0;0;0;1
444113;Pretty room;2206218;23/04/2012;a few days or more;0;0;1;1
449218;Central, fully equipped, best price;2230279;26/04/2012;within a few hours;80;1;1;1
456165;Nice room in Madrid;617086;23/05/2011;within an hour;100;1;1;0
460898;Wide and nice apartment in Madrid;2290984;04/05/2012;within a day;0;0;0;0
462072;Spectacular Penthouse 95 m² Latina;2296476;05/05/2012;within an hour;100;1;1;1
464307;LOVELY SUNNY, DOWNTOWN, 2 BR APT.;2307294;06/05/2012;Sin definir;0;0;1;1
467552;DESIGN PENTHOUSE ALONSO MARTINEZ!;2320165;08/05/2012;within a day;0;0;0;1
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;2322563;08/05/2012;within an hour;100;0;3;1
470132;❤Quiet & Comfortable apartment **Superhost**;2332600;09/05/2012;within an hour;100;1;7;1
473112;LUXURY DUPLEX CENTER A/A-WIFI;2346162;11/05/2012;within a day;100;0;0;1
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;2376402;15/05/2012;Sin definir;0;0;0;1
490610;Bed&Breakfast, 2 bedrooms for 3, at Latina;2426135;21/05/2012;within a few hours;69;1;3;1
491070;NICE APT IN THE HEART OF MADRID !!!;2427722;21/05/2012;Sin definir;100;0;2;1
492221;CENTRICO EN EL BARRIO DE LA LATINA;2433045;22/05/2012;within an hour;0;1;1;1
493238;ElRastro-Plaza Mayor. Air cond-WIFI;2436735;22/05/2012;Sin definir;0;0;1;1
497706;Peaceful apartment in Madrid Centre;2456671;24/05/2012;within an hour;100;0;4;1
499911;2 bedroom apartment downtown Madrid;2467212;26/05/2012;within an hour;67;1;1;1
502918;Cozy room in penthouse in Madrid's heart;2480913;28/05/2012;Sin definir;0;1;1;0
506956;Precioso  apartamento  céntrico  en Madrid;1932547;16/03/2012;within an hour;100;1;1;0
507614;Malasaña: Amazing&extremely central 2BD flat;2501740;30/05/2012;Sin definir;80;0;4;1
510973;Habitación céntrica a 1 min de Plza Santa Ana;2517520;01/06/2012;Sin definir;0;0;1;1
514917;Nice room, nice flat;83531;21/02/2010;Sin definir;0;0;2;1
515008;BIG BED & VERY NICE ROOM YELLOW.;2536524;03/06/2012;Sin definir;100;0;4;1
515339;Cozy & central flat 35 m2 next to ROYAL PALACE;2538187;03/06/2012;Sin definir;100;0;1;1
518208;BIG BED & VERY NICE ORANGE ROOM.;2536524;03/06/2012;Sin definir;100;0;4;1
518511;Central, cheery, light, historic;1150912;13/09/2011;Sin definir;0;0;1;0
521329;Nice&perfect location singel room;2563986;06/06/2012;within an hour;100;0;4;1
521367;Penthouse with terrace in SOL;2564339;06/06/2012;within a day;69;1;20;1
522563;Beautiful loft in downtown Madrid;1652272;25/01/2012;within a day;33;0;2;1
524003;NEXT TO PLAZA MAYOR STATELY BUILDNG;2576044;07/06/2012;within a day;100;1;1;1
526162;Single room in shared flat. Central;2249249;29/04/2012;Sin definir;0;0;1;0
526513;Sol.  Your home in Madrid´s Heart;1134989;09/09/2011;within an hour;100;1;4;1
529690;Architect's sunny La Latina retreat;1020814;01/12/1999;Sin definir;0;0;-99;0
531677;Bright room in the Gran Via!!!!;2613319;12/06/2012;within an hour;100;1;1;1
536574;Junior Rent;447969;17/03/2011;Sin definir;0;0;1;0
537234;Single Naranja en casa de artista;2638528;14/06/2012;within a day;100;0;2;0
540937;MELROSEPIES apartment  A/C City Centre Free WIFI;2659070;17/06/2012;within an hour;95;0;2;1
541406;Enjoy madrid with all your family;2661721;17/06/2012;Sin definir;0;0;1;0
544736;SUNNY & EASY ACCESIBLE BEDROOM;1284868;13/10/2011;within an hour;91;0;2;0
545174;MADRID - MONCLOA;2680319;19/06/2012;Sin definir;0;0;2;0
547050;LUMINOUS, cozy, next to Retiro Park;2690005;20/06/2012;Sin definir;0;0;1;0
548353;Cozy at heart of Chamberi Madrid. 4;2695670;20/06/2012;within an hour;0;0;1;0
548995;CHIC and CENTRAL apartment +WIFI;2673517;18/06/2012;within a few hours;75;1;1;1
549664;SPACIOUS ROOM WITH BATHROOM;2702003;21/06/2012;Sin definir;0;0;1;0
552183;Nice apartment. historic center Mad;2713304;22/06/2012;Sin definir;100;1;1;1
560941;Serrano apartment;596469;17/05/2011;within an hour;97;0;32;1
565152;wonderful aparment in lavapies !!;2779192;29/06/2012;within an hour;100;0;1;1
566241;LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM;2785251;30/06/2012;Sin definir;0;0;2;0
568190;Rooms to rent to students,tourists;2795931;01/07/2012;Sin definir;0;0;1;1
570158;Stanza- Carina;2347489;11/05/2012;within a few hours;83;1;3;1
572048;Rooms to rent in a shared flat;1689652;02/02/2012;Sin definir;0;0;1;1
576487;House in Barajas, close to AIRPORT andIFEMA;2312712;07/05/2012;within a few hours;63;1;1;1
578731;CENTRIC, QUIET, BRIGHT APARTMENT.;2847013;06/07/2012;within a day;0;0;5;1
586726;Good Karma - Madrid Rio Penthouse;2566589;06/06/2012;within a day;0;0;2;1
588382;Apartment in the center of Madrid;2902269;11/07/2012;Sin definir;0;0;1;1
588518;Penthouse with Stunning Balcony Near Plaza Mayor;2267893;01/05/2012;Sin definir;0;1;1;1
590710;Single/Double private room;2913511;12/07/2012;within an hour;0;0;1;1
598771;Atocha Attic - Unbeatable Location;2678039;19/06/2012;within an hour;0;1;1;1
599134;Cosy Plaza Mayor apartment in central Madrid;1567773;04/01/2012;Sin definir;0;0;1;0
599885;ALEGRE Y LUMINOSA HABITACIÓN CENTRO;2214378;24/04/2012;within an hour;100;0;1;1
599977;CENTRAL STUDIO FLAT;2960080;16/07/2012;within a day;80;0;9;1
604150;El Rincón de Serrano;2990747;19/07/2012;Sin definir;0;0;1;0
604632;habitacion luminosa madrid-centro;2993477;19/07/2012;Sin definir;0;0;3;1
605339;NiceStay_HighValue_Orange RoomWIFI;2783896;29/06/2012;within an hour;47;1;3;0
606923;Habitación+baño+cocina privada -Aravaca - Madrid;2581715;08/06/2012;within an hour;69;0;1;1
607548;Attic with views and large Terrace;3010452;21/07/2012;Sin definir;0;0;1;1
608742;Central and quiet.;3017315;22/07/2012;within an hour;93;1;5;1
610675;Beautiful attic, best location.;2174652;19/04/2012;Sin definir;0;0;1;0
616027;Quiet room well located, Av.America;3053021;25/07/2012;Sin definir;0;0;1;1
618576;Puerta del Sol - Palacio Real.;3017315;22/07/2012;within an hour;93;1;5;1
625566;DUPLEX AT MADRID CENTER WITH POOL;2773350;28/06/2012;Sin definir;0;0;1;1
628394;Luxurious Duplex (3 heights) in Sol;3121587;01/08/2012;within a day;85;0;4;1
631737;Chamartin, Large, Warm, Calm & lux;3141727;02/08/2012;Sin definir;0;0;0;0
642863;Malasaña, Madrid, private room;3214130;10/08/2012;Sin definir;0;0;3;1
643471;CHEAP & NICE B&B IN MADRID CENTRE;3290138;17/08/2012;Sin definir;0;0;2;1
644656;Room NEXT TO THE METRO!!;3226403;11/08/2012;within an hour;57;0;3;1
647376;LA LATINA AMAZING NEIGHBORHOOD !!;1091014;31/08/2011;within an hour;0;0;6;1
647891;Madrid Big large room 25m2;3249358;13/08/2012;Sin definir;0;0;1;1
655514;Room for one or two people;3226403;11/08/2012;within an hour;57;0;3;1
656520;Studio in Lavapies , Madrid;1375487;06/11/2011;Sin definir;0;1;1;0
659887;Habitación amplia y comoda centro Madrid;3329487;21/08/2012;within an hour;0;0;2;1
663761;Habitacion con litera para 2 o 3;3352121;23/08/2012;Sin definir;0;0;1;1
668753;Sunny bdm. One of Madrid best areas;3385307;01/12/1999;Sin definir;0;0;-99;0
676566;Up to 4 people flat central Madrid;3317937;01/12/1999;Sin definir;0;0;-99;0
678413;LOVELY & BOHEMIAN IN MADRID HEART;3451933;02/09/2012;a few days or more;0;0;2;0
680784;Habitacion Madrid Centro MUY BIEN SITUADO!;3466426;04/09/2012;Sin definir;0;0;1;0
682889;Charming attic, center of Madrid;150072;22/06/2010;Sin definir;0;0;1;1
683208;Elegant & Confortable apartment in the center;9228673;04/10/2013;within an hour;100;0;60;1
683969;I share my flat.Two bedroom.Women.;3487329;06/09/2012;Sin definir;0;0;1;0
684564;ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL;1941314;17/03/2012;Sin definir;0;0;2;1
685152;house-hotel;3494012;06/09/2012;within a few hours;50;0;7;1
689099;Lujo a tu alcance;3357259;24/08/2012;Sin definir;0;0;1;0
691344;hab individual  en madrid;655088;02/06/2011;within a few hours;50;0;3;1
691458;Habitación doble  luminosa;655088;02/06/2011;within a few hours;50;0;3;1
692358;Amazing 11th floor with a/a for 8 people;3540348;11/09/2012;within an hour;100;1;10;1
692855;LOVELY APT AT THE CENTER: LA LATINA;3544353;12/09/2012;within an hour;0;0;1;1
694867;Tranquilo y cómodo apartamento en Madrid 5PAX;3540348;11/09/2012;within an hour;100;1;10;1
695909;Madrid Central Modern Apartment;3021792;22/07/2012;Sin definir;100;1;1;1
696928;alquilo habitación;3569462;14/09/2012;within an hour;100;1;2;0
697858;Cosy double room Madrid;3571619;14/09/2012;Sin definir;0;0;1;1
704155;Apartment  in the center of Madrid;3606346;01/12/1999;Sin definir;0;0;-99;0
708275;"""Great Velazquez Apartment & Area""";2785251;30/06/2012;Sin definir;0;0;2;0
709208;Apartment in the heart of Madrid;3648882;23/09/2012;within an hour;100;1;1;1
710156;AIRPORT/IFEMA INDIVIDUAL BATHROOM;3654886;23/09/2012;Sin definir;100;0;3;1
716292;Just in the centre: Malasaña/Chueca;3691303;27/09/2012;within a few hours;50;0;1;1
717313;Unique stylish near Royal Palace;3698406;28/09/2012;within an hour;100;1;1;1
721377;40M2 LOFT GREAT FOR STUDENT 100M WF;3724500;01/10/2012;within a day;83;0;0;1
723088;LOVELY FLAT IN PLAZA DE CHUECA;2555202;05/06/2012;a few days or more;0;0;1;1
724700;2 APT CENTRO MADRID, TIRSO DE MOLINA;3746437;03/10/2012;within an hour;97;1;21;1
724901;Beautiful flat in Madrid Moncloa;3747503;03/10/2012;a few days or more;0;0;0;0
727588;CENTRIC NEAR TO M30, 2 BEDROOMS;498646;10/04/2011;within a day;100;0;12;1
730347;APARTMENT FOR 6 PEOPLE LOCATED IN PLAZA MAYOR;3797913;08/10/2012;within a few hours;67;0;0;1
730502;APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE;3797913;08/10/2012;within a few hours;67;0;0;1
730746;Beautiful flat in the center!;2425572;21/05/2012;within a day;0;0;2;1
733365;A place for your accommodation;3821608;10/10/2012;within an hour;100;1;0;0
734053;Independent room for students;3825783;10/10/2012;Sin definir;0;0;0;0
738837;Agradable, funcional y luminoso (Tirso, La Latina);3771869;05/10/2012;within a few hours;83;0;2;1
743650;Habitación en Lavapies;2236658;27/04/2012;Sin definir;100;0;1;1
745459;Bonita  habitación con doble cama;3591751;17/09/2012;within a few hours;80;0;2;1
745664;WIFI B&B , BATH, TWO BEDS, CENTER, AWESOME.;3591751;17/09/2012;within a few hours;80;0;2;1
747873;Stylish apartment in the city center;1625657;19/01/2012;within a day;85;0;5;1
748854;Host family in the center of Madrid;1888816;09/03/2012;within an hour;100;1;4;1
749957;Estudio en el Paseo del Pintor Rosa;124972;14/05/2010;within a few hours;84;1;7;1
750257;Holiday Estudio  Madrid Center;130907;24/05/2010;Sin definir;0;0;3;0
751527;Gran apartamento Plaza de España (ref. VT-2053);3951702;23/10/2012;within a few hours;0;1;1;1
751530;Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.;3898452;17/10/2012;within an hour;100;0;2;1
752424;2br Apartment La Latina / Rastro;216570;29/08/2010;Sin definir;0;0;2;1
752515;WIFI. Big Bargain. Cosy. Charm. :);3438657;01/09/2012;Sin definir;0;0;2;1
752883;ALQUILO HABITACIÓN MUY LUMINOSA. MÍNIMO 6 MESES;3960415;24/10/2012;Sin definir;0;0;1;1
754678;APARTMENT IN THE CENTRE OF MADRID.;3961468;24/10/2012;within a few hours;100;0;1;1
755535;SINGLE BED & VERY NICE GREEN ROOM.;2536524;03/06/2012;Sin definir;100;0;4;1
755587;Centro/Apartm/Plaza Mayor/Wifi/cozy;3898452;17/10/2012;within an hour;100;0;2;1
756707;★THE GEM. Steps away from everywhere★;3983613;26/10/2012;within an hour;89;1;6;1
759575;Madrid center-Fuencarral pedestrian;690223;11/06/2011;Sin definir;0;0;1;1
760482;Dúplex-Penthouse Cuzco-Castellana Smart;4008643;29/10/2012;Sin definir;100;1;4;1
761095;Compostela Suites Madrid Airport / 2BD;4012305;30/10/2012;within a few hours;100;0;3;0
761098;Compostela Suites Madrid Aeropuerto;4012305;30/10/2012;within a few hours;100;0;3;0
761159;DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.;4012290;30/10/2012;within a few hours;100;0;2;0
761195;Compostela Suites Madrid Airport;4012305;30/10/2012;within a few hours;100;0;3;0
762701;Madrid Apartment Esparteros;378073;05/02/2011;within an hour;100;0;9;1
763214;ROYAL PALACE - THE OLD TOWN  MADRID;4032439;01/11/2012;within an hour;0;0;1;1
766160;Estudio en pleno centro de Madrid;4036376;01/11/2012;a few days or more;100;0;3;1
768311;Precioso estudio y terraza en el corazón de Madrid;4053105;04/11/2012;within an hour;100;0;1;1
769210;Amplia habitación 1 persona;2695144;20/06/2012;Sin definir;0;0;1;1
770883;BEAUTIFUL HOUSE CENTER MADRID WIFI;1528106;22/12/2011;within a few hours;0;0;3;0
772646;Hermoso loft  Puerta del Sol centro - María;3606346;01/12/1999;Sin definir;0;0;-99;0
773608;Centric bright  large room in Malasaña;2991925;19/07/2012;within a day;69;1;3;1
773990;Apartamento en Centro Madrid +WIFI;4083688;07/11/2012;within an hour;100;0;8;1
774008;PADDLE POOL ROOM LUXURY;4083766;07/11/2012;Sin definir;100;0;2;1
774356;single room in Malasaña, Madrid;3214130;10/08/2012;Sin definir;0;0;3;1
779960;Sunny loft close to museums and Atocha;4112877;10/11/2012;within a few hours;100;0;10;1
780397;Nice flat in Madrid city centre;4068975;05/11/2012;Sin definir;0;0;1;0
781012;Single room in La Latina citycenter;4118311;11/11/2012;Sin definir;0;1;1;0
783647;alquilo habitacion con baño;4132185;12/11/2012;within a day;60;0;2;1
785834;Great location in front of Park;124972;14/05/2010;within a few hours;84;1;7;1
793618;Luxury home in an old Convent.;4180632;18/11/2012;within an hour;100;0;1;1
793622;NEW BETWEEN GRAN VIA AND SOL (WIFI);4181071;01/12/1999;Sin definir;0;0;-99;0
795877;Prime location 40 m PLaza MAYOR;4192385;19/11/2012;Sin definir;0;0;0;1
797030;Cosy flat with terrace near subway;4198169;20/11/2012;within a day;58;0;1;1
798091;Apartment in historic center Madrid;4203067;20/11/2012;within an hour;0;0;1;1
804681;Habitacion cerca del aeropuerto Barajas;4235741;25/11/2012;Sin definir;0;0;3;1
814586;Charmy Apartment Chueca's Square;4277536;29/11/2012;within an hour;100;0;2;1
814647;Alojamiento en familia, Madrid;4159117;15/11/2012;Sin definir;0;0;1;0
814731;Apartamento vistas a la Catedral.;4280501;29/11/2012;within an hour;33;1;2;1
814870;Cozy  room in Madrid - Atocha (3);4281126;29/11/2012;within a few hours;33;1;4;0
817184;wonderful apartment in the center.;4292037;30/11/2012;within a few hours;83;0;5;1
821860;Madirid Historical Center.Bathroom;4280501;29/11/2012;within an hour;33;1;2;1
828095;Your Room in Madrid;2333408;09/05/2012;within a few hours;0;0;1;1
831616;Charming Loft in Madrid center;4354906;08/12/2012;a few days or more;0;0;1;0
832102;Apartment in Chamberi;4356259;08/12/2012;within a few hours;0;0;1;1
833871;Beautiful apartment in the center;4292037;30/11/2012;within a few hours;83;0;5;1
834562;NICE FAMILY APARTMENT 120SQ. METER;4365768;09/12/2012;within an hour;100;1;1;1
834675;El gusto por los nuevos encuentros;4190662;19/11/2012;a few days or more;0;0;1;0
837183;PENTHOUSE STUDIO APARTMENT MADRID CENTER;4310374;03/12/2012;a few days or more;79;0;2;1
838698;Big cozy room in Atocha (2);4281126;29/11/2012;within a few hours;33;1;4;0
