id;name;host_id;host_since;host_response_time;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified
45493444;Loft muy comodo y luminoso amplio y acogedor;327300977;14/01/2020;a few days or more;;0;1;1
45494152;Nuevo Apartamento junto a la Gran Vía de Madrid;368117770;18/09/2020;within an hour;;1;0;1
45494282;Nuevo Apartamento junto a la Gran Vía de Madrid;368117770;18/09/2020;within an hour;;1;0;1
45494892;Fuencarral;161798391;08/12/2017;within an hour;;1;6;1
45499419;Piso completo en en metro Carpetana;368026408;17/09/2020;within a day;;0;0;1
45500355;Piso de 3 dormitorios exterior CHAMBERI;368026408;17/09/2020;within a day;;0;0;1
45500766;Cozy apartment in the best neighborhood;368237730;01/12/1999;Sin definir;;0;-99;0
45501095;Gran terraza y mucha luz en frente de las 4 Torres;101598900;28/10/2016;within a day;;0;0;1
45501217;Habitación y aseo privado;47968252;02/11/2015;a few days or more;;0;0;0
45502537;HABITACIÓN DE LUJO EN PISO IMPECABLE EN SOL;331982718;30/01/2020;within an hour;;0;13;1
45503091;APARTAMENTO CENTRO MADRID FAMILIAS;368267107;19/09/2020;within a day;;0;3;1
45503675;** Study Center Plaza Mayor-Sol Wifi-A/C**;367507535;14/09/2020;within an hour;;1;0;1
45503838;*** Study Center Plaza Mayor-Sol Wifi A/C***;367507535;14/09/2020;within an hour;;1;0;1
45503876;Piso de 2 dormitorios en Madrid Centro;368267107;19/09/2020;within a day;;0;3;1
45503913;****Study Center Plaza Mayor-Sol Wifi-A/C****;367507535;14/09/2020;within an hour;;1;0;1
45503957;PISO de 3 dormitorios en MADRID centro CHAMBERI;368267107;19/09/2020;within a day;;0;3;1
45504093;Cozy Room In the center of Madrid;24150752;25/11/2014;within an hour;;0;3;1
45504264;Central and cozy apartment;161832571;08/12/2017;a few days or more;;0;0;1
45513389;Chueca - Habitación individual con baño privado;17806971;08/07/2014;within an hour;;0;0;1
45514824;Habitación en Prosperidad ambiente familiar;354950150;09/07/2020;a few days or more;;0;2;1
45515525;Habitación privada con baño tipo SUITE;53187324;03/01/2016;within an hour;;1;3;0
45515897;Casa Feria de Madrid. Ideal para FITUR 2021;368408102;20/09/2020;within an hour;;0;0;1
45521339;Habitación en casa diáfana;146579543;18/08/2017;Sin definir;;0;1;1
45521365;Ático acogedor metro Laguna lado parque cuña verde;135458887;17/06/2017;within a day;;0;0;1
45522520;Alquiler de habitación en piso compartido;22944209;25/10/2014;Sin definir;;0;0;1
45522933;A bright, central, fully-equipped 2 bedroom attic;354747202;08/07/2020;within an hour;;0;0;1
45523405;Bright,cosy and central 1 Bedroom attic;96436426;23/09/2016;within an hour;;0;1;1
45523679;Piso Chamberi hasta familia 4 personas;368523812;21/09/2020;within a day;;0;1;1
45524389;DOBO HOMES MANOTERAS 8;274985942;10/07/2019;within an hour;;0;6;1
45525519;Bright & Cozy Ground Floor Apartment with Terrace;128102283;29/04/2017;within an hour;;0;0;0
45525736;Comfortable & Central, Cosy One Bedroom Apartment;354747202;08/07/2020;within an hour;;0;0;1
45526246;Dúplex de 10 habitaciones;344959265;29/04/2020;within a day;;0;0;0
45526389;Morar Apartments Malasaña | Madrid 1 Habitación;368558337;21/09/2020;within an hour;;0;0;1
45526792;Morar Apartments Malasaña | Madrid 2 Habitaciones;368558337;21/09/2020;within an hour;;0;0;1
45526857;Bonito y acogedor apartamento;12376359;19/02/2014;Sin definir;;0;1;1
45527860;Monkey’s loft with views in the downtown;329629714;21/01/2020;within an hour;;1;12;1
45527870;Habitación acogedora, incluye camilla de masajes;368579147;21/09/2020;a few days or more;;0;1;1
45529900;PRECIOSO LOFT, EN PLENA CALLE GRAN VIA;8124160;13/08/2013;within a few hours;;1;12;1
45531416;Wonderful double apartment in the heart of Madrid;15163971;06/05/2014;within an hour;;1;0;1
45531428;Beautiful & cozy apartment in the heart of Madrid;15163971;06/05/2014;within an hour;;1;0;1
45531992;AMPLIA HABITACIÓN INDIV. C PISCINA TV EN EL RETIRO;366450477;07/09/2020;a few days or more;;0;0;0
45537217;ENTRE ARGANZUELA USERA RIO MANZANARES 2 CHAMBRES;250095756;20/03/2019;within a day;;0;2;1
45537463;Piso estudiantes 3 dormitorios Chamberi Malasaña;368523812;21/09/2020;within a day;;0;1;1
45538951;Apartamento espacioso y luminoso;219102844;06/10/2018;Sin definir;;0;0;1
45540137;Luz, comodidad en pleno centro (450€ gastos incl.);714502;01/12/1999;Sin definir;;0;-99;0
45541631;Malasaña & San Bernardo - Luminoso & Céntrico;341372778;12/03/2020;within an hour;;0;0;1
45542573;Stylish Loft Downtown;368727796;22/09/2020;within an hour;;0;0;1
45543322;Comfortable Apartment Downtown;368727796;22/09/2020;within an hour;;0;0;1
45543486;Ayala III;247570318;08/03/2019;within a day;;0;69;1
45554201;Soleado, y tranquilo Olavide. Largo y Corto plazo;2417075;20/05/2012;within an hour;;0;6;1
45555597;Brigth & Modern 1Bedroom 1Bathroom - Retiro;368860688;23/09/2020;within an hour;;0;0;0
45561089;Gran Habitación en ático;19449087;04/08/2014;within an hour;;0;1;1
45563225;COLIVI´N Atocha Vivir, Trabajar y Divertirse;183871487;12/04/2018;Sin definir;;0;1;0
45563560;Modern apartment in the heart of Madrid -SOL-;51180643;12/12/2015;within an hour;;1;0;1
45568910;Private DOUBLE room Delicias;340315306;05/03/2020;within an hour;;0;2;0
45575239;Habitación en gran via baño privado con sauna;134331739;10/06/2017;a few days or more;;0;0;0
45576290;Habitación con cuarto baño compartido;134331739;10/06/2017;a few days or more;;0;0;0
45577229;Downtown Studio Lavapies Reina Sofia;368727796;22/09/2020;within an hour;;0;0;1
45577451;Modern & Fantastic Downtown;368727796;22/09/2020;within an hour;;0;0;1
45577664;Piso compartido en malasaña (estudiantes).;369090067;24/09/2020;Sin definir;;0;0;0
45577818;Downtown cute 1 Bedroom apartment;368727796;22/09/2020;within an hour;;0;0;1
45578108;Beautiful Loft LA LATINA;368727796;22/09/2020;within an hour;;0;0;1
45579531;Habitacion grande Madrid Rio;220753547;15/10/2018;Sin definir;;0;1;0
45579555;Bonita y cómoda habitación;263290177;21/05/2019;a few days or more;;0;0;1
45580759;Comfy bedroom with a view;91786752;25/08/2016;Sin definir;;0;1;0
45582951;Habitacion individual Atocha;252972392;03/04/2019;Sin definir;;0;1;0
45586530;HABITACION SINGLE LOVELY CHIC RETIRO-Offer April;31681692;21/04/2015;within an hour;;0;11;1
